account_id,company_name,plan,mrr,signup_date,last_active,api_calls_30d,team_size,churned,churn_date,churn_reason,feature_requests,support_tickets_30d,nps_score,region
ACC-0001,ansible-learner,enterprise,8443,2025-09-28,2025-12-06,23660,140,True,2025-12-19,no SSO/SAML capability,SSO/SAML; RBAC enhancements; GraphQL support,14,1,US
ACC-0002,Nexus Integration Co,free,0,2025-07-16,2026-02-05,2490,2,False,,,SSO/SAML,0,7,US
ACC-0003,StackPilot,free,0,2024-08-07,2026-01-28,3998,3,False,,,auto-scaling; SSO/SAML,0,9,US
ACC-0004,Stratton Dynamics,pro,133,2025-07-21,2026-01-28,72039,4,False,,,rollback support; API rate limit increase; SSO/SAML,4,10,US
ACC-0005,ramen-profitable,free,0,2024-07-16,2026-01-24,587,3,False,,,SSO/SAML; team permissions,2,8,US
ACC-0006,PageDuty,free,0,2025-02-10,2026-01-24,1923,1,False,,,Slack notifications,0,7,APAC
ACC-0007,yarn-lover,pro,86,2025-08-23,2026-01-29,36958,10,False,,,team permissions; SSO/SAML,2,6,EU
ACC-0008,Beacon Finance Tech,free,0,2025-07-15,2026-01-21,1978,1,False,,,SSO/SAML,0,8,APAC
ACC-0009,QueryPro,free,0,2026-01-26,2026-01-28,1396,1,False,,,audit logs,0,6,US
ACC-0010,PubSubHQ,pro,140,2024-08-03,2026-01-27,72822,5,False,,,SSO/SAML; team permissions,3,7,EU
ACC-0011,webpack-survivor,free,0,2026-02-01,2026-01-26,1314,3,False,,,SSO/SAML; audit logs; API rate limit increase,0,3,EU
ACC-0012,auth0-free-tier,free,0,2025-02-07,2026-02-10,2598,3,False,,,SSO/SAML,0,6,US
ACC-0013,next-js-fan,free,0,2024-08-22,2026-02-02,174,3,False,,,CLI improvements,0,5,EU
ACC-0014,DesignToken,free,0,2025-03-24,2026-01-20,2002,3,False,,,2FA enforcement; API rate limit increase,0,5,EU
ACC-0015,teams-reluctant,enterprise,9183,2025-05-22,2026-02-08,411896,22,False,,,SSO/SAML; RBAC enhancements; log streaming,14,3,US
ACC-0016,APILayer,pro,197,2024-05-01,2026-02-03,53343,10,False,,,CLI improvements; SSO/SAML,0,5,US
ACC-0017,BenchMark Co,enterprise,11706,2025-08-04,2025-12-16,29947,132,True,2025-12-24,missing SSO,SSO/SAML; custom domains; Slack notifications,7,1,APAC
ACC-0018,curl-purist,free,0,2024-05-28,2026-02-01,426,1,False,,,API rate limit increase; log streaming,1,5,APAC
ACC-0019,Cobalt Engineering,enterprise,6965,2025-06-07,2026-01-30,455895,129,False,,,webhook retries; Slack notifications,10,9,US
ACC-0020,adobe-subscriber,enterprise,3676,2025-04-14,2026-02-04,210663,57,False,,,SSO/SAML; auto-scaling,14,2,EU
ACC-0021,tailwind-maximalist,free,0,2025-10-05,2026-02-04,2468,2,False,,,API rate limit increase; SSO/SAML,0,6,APAC
ACC-0022,DevCanvas,free,0,2024-07-03,2026-01-29,1037,3,False,,,SSO/SAML,1,3,EU
ACC-0023,Ironclad Software,free,0,2025-02-06,2026-02-08,3611,3,False,,,team permissions,1,7,APAC
ACC-0024,GridMaster,free,0,2024-04-28,2026-02-06,746,2,False,,,private networking; SSO/SAML,0,4,US
ACC-0025,Horizon Insights,free,0,2024-04-03,2026-01-28,3129,1,False,,,SSO/SAML,2,3,APAC
ACC-0026,StyleGuide,free,0,2024-09-21,2026-02-09,3339,3,False,,,SSO/SAML; team permissions,1,7,APAC
ACC-0027,notion-power-user,free,0,2025-11-17,2026-01-21,3969,1,False,,,team permissions; SSO/SAML; API rate limit increase,0,8,US
ACC-0028,github-copilot-fan,free,0,2024-03-26,2026-02-04,3837,2,False,,,multi-region deploy,0,7,EU
ACC-0029,tiny-startup,free,0,2025-09-30,2026-02-06,1024,2,False,,,team permissions,0,4,APAC
ACC-0030,ruby-on-rails-5ever,enterprise,8123,2024-03-14,2025-11-28,7227,55,True,2025-12-04,SSO compliance requirement,SSO/SAML,7,3,APAC
ACC-0031,astro-builder,pro,181,2025-01-21,2026-01-28,30140,9,False,,,SSO/SAML,0,10,APAC
ACC-0032,turbopack-beta,free,0,2024-06-23,2026-02-07,3583,3,False,,,API rate limit increase,1,5,US
ACC-0033,Cascadia Cloud,enterprise,12054,2024-08-08,2025-12-10,3109,32,True,2025-12-22,missing SSO,SSO/SAML; 2FA enforcement; private networking,14,2,APAC
ACC-0034,cursor-user,free,0,2025-07-19,2026-01-31,390,3,False,,,cost alerts; SSO/SAML; container registry,1,7,US
ACC-0035,azure-curious,pro,81,2025-08-08,2026-01-20,52898,13,False,,,cost alerts,5,8,EU
ACC-0036,railway-rider,free,0,2024-07-22,2026-02-08,3959,3,False,,,API rate limit increase; team permissions,2,6,EU
ACC-0037,lucia-auth-fan,enterprise,3082,2025-11-20,2026-02-03,387894,41,False,,,webhook retries,15,9,US
