account_id,company_name,plan,mrr,signup_date,last_active,api_calls_30d,team_size,churned,churn_date,churn_reason,feature_requests,support_tickets_30d,nps_score,region
ACC-0001,VertexInc,pro,188,2025-11-14,2026-01-20,47068,9,False,,,rollback support; SSO/SAML,0,6,EU
ACC-0002,VoltPlatform,free,0,2025-05-06,2026-01-24,4066,2,False,,,SSO/SAML; team permissions,0,9,APAC
ACC-0003,AtlasNet,free,0,2025-01-29,2026-01-23,1171,3,False,,,API rate limit increase,0,6,EU
ACC-0004,VectorShift,free,0,2024-10-21,2026-01-15,893,1,False,,,container registry; SSO/SAML; RBAC enhancements,1,4,US
ACC-0005,SyncDev,pro,180,2025-07-05,2026-01-25,37686,9,False,,,API rate limit increase,8,8,EU
ACC-0006,FluxSpace,pro,198,2025-12-25,2026-01-22,8188,2,False,,,team permissions; CLI improvements; SSO/SAML,6,6,APAC
ACC-0007,PrimeMicro,free,0,2024-11-07,2026-02-03,3096,2,False,,,SSO/SAML; multi-region deploy; API rate limit increase,0,7,US
ACC-0008,QuantumGlobal,free,0,2025-05-17,2026-02-04,4604,2,False,,,SSO/SAML,0,9,APAC
ACC-0009,IonPro,free,0,2025-01-23,2026-01-28,3095,1,False,,,rollback support; SSO/SAML,0,8,APAC
ACC-0010,VertexDigital,enterprise,4380,2025-01-17,2026-01-27,812688,22,False,,,GraphQL support; team permissions; CLI improvements,10,8,EU
ACC-0011,DataSystems,free,0,2025-07-14,2026-02-06,4275,3,False,,,SSO/SAML; team permissions; API rate limit increase,1,9,EU
ACC-0012,CodeGroup,free,0,2026-01-15,2026-01-31,318,3,False,,,team permissions; RBAC enhancements; webhook retries; Slack notifications,1,8,APAC
ACC-0013,NovaStream,free,0,2025-11-06,2026-02-04,3214,1,False,,,team permissions; SSO/SAML,0,6,US
ACC-0014,NodePath,free,0,2024-07-15,2026-01-24,1770,3,False,,,webhook retries; 2FA enforcement; API rate limit increase; usage analytics dashboard,1,5,EU
ACC-0015,DataHub,free,0,2024-08-06,2025-11-30,181,3,True,2025-12-09,acquired by another company,multi-region deploy; cost alerts; auto-scaling,7,3,US
ACC-0016,CyberVentures,free,0,2026-02-01,2026-02-28,1477,2,True,2026-03-03,poor performance,team permissions; API rate limit increase; GitHub integration,7,1,EU
ACC-0017,RapidForge,free,0,2025-01-30,2026-02-09,3723,3,False,,,team permissions; GitHub integration,1,4,EU
ACC-0018,EdgeFlow,pro,106,2025-08-07,2026-01-31,20259,2,False,,,team permissions,7,5,APAC
ACC-0019,WebCraft,pro,50,2024-06-30,2026-02-10,41067,4,False,,,usage analytics dashboard; SSO/SAML; CLI improvements; team permissions,0,5,US
ACC-0020,NetGlobal,pro,185,2024-10-05,2026-02-03,7444,4,False,,,Slack notifications; webhook retries; rollback support,4,5,US
ACC-0021,NeonAI,free,0,2024-02-20,2026-01-20,4752,2,False,,,team permissions; API rate limit increase; GitHub integration,2,6,EU
ACC-0022,NetDynamics,free,0,2024-11-16,2025-09-23,117,3,True,2025-10-02,budget cuts,custom domains; CLI improvements; multi-region deploy,9,4,US
ACC-0023,SonicAI,free,0,2025-07-22,2026-01-21,810,2,False,,,SSO/SAML,0,4,US
ACC-0024,RapidStudio,free,0,2024-02-17,2025-10-08,168,2,True,2025-10-19,pricing too high,API rate limit increase,3,1,EU
ACC-0025,MetaWave,enterprise,3013,2025-06-01,2025-09-19,10190,93,True,2025-09-23,SSO compliance requirement,SSO/SAML; CLI improvements; API rate limit increase,5,4,EU
ACC-0026,MetaCo,free,0,2024-07-16,2026-01-25,3160,2,False,,,multi-region deploy; container registry; audit logs; team permissions,1,3,US
ACC-0027,BaseVentures,pro,64,2024-06-04,2026-02-06,40890,10,False,,,GitHub integration; team permissions,7,5,APAC
